
Frequency Domain Results:
Harmonic	Frequency(Hz)
-30	-3e+08
-29	-2.9e+08
-28	-2.8e+08
-27	-2.7e+08
-26	-2.6e+08
-25	-2.5e+08
-24	-2.4e+08
-23	-2.3e+08
-22	-2.2e+08
-21	-2.1e+08
-20	-2e+08
-19	-1.9e+08
-18	-1.8e+08
-17	-1.7e+08
-16	-1.6e+08
-15	-1.5e+08
-14	-1.4e+08
-13	-1.3e+08
-12	-1.2e+08
-11	-1.1e+08
-10	-1e+08
-9	-9e+07
-8	-8e+07
-7	-7e+07
-6	-6e+07
-5	-5e+07
-4	-4e+07
-3	-3e+07
-2	-2e+07
-1	-1e+07
0	0
1	1e+07
2	2e+07
3	3e+07
4	4e+07
5	5e+07
6	6e+07
7	7e+07
8	8e+07
9	9e+07
10	1e+08
11	1.1e+08
12	1.2e+08
13	1.3e+08
14	1.4e+08
15	1.5e+08
16	1.6e+08
17	1.7e+08
18	1.8e+08
19	1.9e+08
20	2e+08
21	2.1e+08
22	2.2e+08
23	2.3e+08
24	2.4e+08
25	2.5e+08
26	2.6e+08
27	2.7e+08
28	2.8e+08
29	2.9e+08
30	3e+08
