Time(s)	V(102)	V(103)	V(112)	V(113)	V(154)	V(164)
0	3.00117	2.98769	0.6	0.6	1	1
4.97512e-11	2.92238	2.93023	0.595661	0.604339	1.16658	0.833416
9.95025e-11	2.78203	2.79105	0.591541	0.608459	1.32007	0.67993
1.49254e-10	2.72808	2.71217	0.587847	0.612153	1.44839	0.551612
1.99005e-10	2.73306	2.70894	0.584766	0.615234	1.54145	0.45855
2.48756e-10	2.77058	2.7316	0.582446	0.617554	1.59194	0.408062
2.98507e-10	2.81429	2.77372	0.581001	0.618999	1.59588	0.404118
3.48259e-10	2.86569	2.81647	0.580492	0.619508	1.55297	0.447028
3.9801e-10	2.90956	2.86527	0.580934	0.619066	1.46658	0.533417
4.47761e-10	2.95224	2.90527	0.582292	0.617708	1.34351	0.656495
4.97512e-10	2.97693	2.94444	0.584482	0.615518	1.19342	0.806581
5.47264e-10	3.00012	2.96898	0.587379	0.612621	1.02812	0.971877
5.97015e-10	2.93063	2.96156	0.590822	0.609178	0.860617	1.13938
6.46766e-10	2.78111	2.8416	0.594624	0.605376	0.70407	1.29593
6.96517e-10	2.71023	2.74215	0.598586	0.601414	0.570792	1.42921
7.46269e-10	2.71197	2.72869	0.602501	0.597499	0.471262	1.52874
7.9602e-10	2.74574	2.74404	0.606174	0.593826	0.413307	1.58669
8.45771e-10	2.79231	2.78409	0.609424	0.590576	0.401483	1.59852
8.95522e-10	2.84375	2.82253	0.612101	0.587899	0.436721	1.56328
9.45274e-10	2.89326	2.87043	0.614088	0.585912	0.516249	1.48375
9.95025e-10	2.9375	2.90622	0.61531	0.58469	0.633814	1.36619
1.04478e-09	2.9708	2.94621	0.615735	0.584265	0.780172	1.21983
1.09453e-09	2.99303	2.96545	0.615374	0.584626	0.943815	1.05618
1.14428e-09	2.95066	2.97655	0.614284	0.585716	1.11188	0.888124
1.19403e-09	2.80032	2.86567	0.612555	0.587445	1.27114	0.72886
1.24378e-09	2.70572	2.75779	0.61031	0.58969	1.40908	0.590915
1.29353e-09	2.69977	2.73745	0.607695	0.592305	1.51486	0.485137
1.34328e-09	2.7252	2.75129	0.604869	0.595131	1.58016	0.419842
1.39303e-09	2.77215	2.79074	0.601995	0.598005	1.59984	0.400165
1.44279e-09	2.82014	2.82955	0.59923	0.60077	1.57235	0.427652
1.49254e-09	2.87363	2.87757	0.596715	0.603285	1.49986	0.500143
1.54229e-09	2.91702	2.91322	0.594571	0.605429	1.38806	0.611938
1.59204e-09	2.95873	2.95332	0.592886	0.607114	1.24575	0.754246
1.64179e-09	2.98081	2.97093	0.59172	0.60828	1.08412	0.915877
1.69154e-09	2.97623	2.98548	0.591095	0.608905	0.915877	1.08412
1.74129e-09	2.83944	2.87109	0.590997	0.609003	0.754246	1.24575
1.79104e-09	2.72234	2.75547	0.591385	0.608615	0.611938	1.38806
1.8408e-09	2.70399	2.73059	0.592186	0.607814	0.500143	1.49986
1.89055e-09	2.72018	2.74413	0.593308	0.606692	0.427652	1.57235
1.9403e-09	2.76448	2.78415	0.594643	0.605357	0.400165	1.59984
1.99005e-09	2.8081	2.82467	0.596078	0.603922	0.419842	1.58016
2.0398e-09	2.86205	2.87447	0.597503	0.602497	0.485137	1.51486
2.08955e-09	2.90334	2.91207	0.598815	0.601185	0.590915	1.40908
2.1393e-09	2.94893	2.95436	0.59993	0.60007	0.72886	1.27114
2.18905e-09	2.96975	2.9722	0.600783	0.599217	0.888124	1.11188
2.23881e-09	2.9925	2.99357	0.601338	0.598662	1.05618	0.943815
2.28856e-09	2.87861	2.87998	0.601584	0.598416	1.21983	0.780172
2.33831e-09	2.74795	2.75204	0.601537	0.598463	1.36619	0.633814
2.38806e-09	2.71524	2.71913	0.601239	0.598761	1.48375	0.516249
2.43781e-09	2.7254	2.72922	0.600752	0.599248	1.56328	0.436721
2.48756e-09	2.76596	2.76858	0.600156	0.599844	1.59852	0.401483
2.53731e-09	2.808	2.80918	0.599537	0.600463	1.58669	0.413307
2.58706e-09	2.86043	2.86049	0.598986	0.601014	1.52874	0.471262
2.63682e-09	2.90159	2.89983	0.598584	0.601416	1.42921	0.570792
2.68657e-09	2.94686	2.94512	0.598405	0.601595	1.29593	0.70407
2.73632e-09	2.96823	2.96531	0.598501	0.601499	1.13938	0.860617
2.78607e-09	2.99847	2.99841	0.5989	0.6011	0.971877	1.02812
2.83582e-09	2.90147	2.90438	0.599608	0.600392	0.806581	1.19342
2.88557e-09	2.7625	2.76775	0.600598	0.599402	0.656495	1.34351
2.93532e-09	2.71825	2.71729	0.601821	0.598179	0.533417	1.46658
2.98507e-09	2.72466	2.72261	0.603202	0.596798	0.447028	1.55297
3.03483e-09	2.76358	2.75569	0.604645	0.595355	0.404118	1.59588
3.08458e-09	2.80607	2.79691	0.606045	0.593955	0.408062	1.59194
3.13433e-09	2.85878	2.84435	0.607287	0.592713	0.45855	1.54145
3.18408e-09	2.9017	2.88722	0.608261	0.591739	0.551612	1.44839
3.23383e-09	2.94731	2.92939	0.608865	0.591135	0.67993	1.32007
3.28358e-09	2.97081	2.9574	0.609018	0.590982	0.833416	1.16658
3.33333e-09	3.00089	2.98685	0.60866	0.59134	1	1
3.38308e-09	2.91466	2.93633	0.607764	0.592236	1.16658	0.833416
3.43284e-09	2.76606	2.80672	0.606333	0.593667	1.32007	0.67993
3.48259e-09	2.70877	2.73211	0.60441	0.59559	1.44839	0.551612
3.53234e-09	2.71165	2.73131	0.602067	0.597933	1.54145	0.45855
3.58209e-09	2.74838	2.75554	0.599411	0.600589	1.59194	0.408062
3.63184e-09	2.79253	2.79743	0.596572	0.603428	1.59588	0.404118
3.68159e-09	2.84574	2.83909	0.593702	0.606298	1.55297	0.447028
3.73134e-09	2.89267	2.88455	0.590961	0.609039	1.46658	0.533417
3.78109e-09	2.93936	2.92123	0.588512	0.611488	1.34351	0.656495
3.83085e-09	2.96897	2.95491	0.586508	0.613492	1.19342	0.806581
3.8806e-09	2.99677	2.9763	0.585085	0.614915	1.02812	0.971877
