Time(s)	V(102)	V(107)
0	3.0011	0.51205
1.63934e-10	2.70077	0.787243
3.27869e-10	2.85575	1.05227
4.91803e-10	2.98601	0.740469
6.55738e-10	2.81473	0.690048
8.19672e-10	2.74505	0.951793
9.83607e-10	2.93692	0.909668
1.14754e-09	2.92945	0.529329
1.31148e-09	2.66962	0.844456
1.47541e-09	2.86845	1.03274
1.63934e-09	2.9953	0.604607
1.80328e-09	2.72722	0.745767
1.96721e-09	2.79177	1.01252
2.13115e-09	2.94	0.806663
2.29508e-09	2.87386	0.627544
2.45902e-09	2.71606	0.911859
2.62295e-09	2.89946	1.00253
2.78689e-09	2.99208	0.517376
2.95082e-09	2.68118	0.795253
3.11475e-09	2.8527	1.03314
3.27869e-09	2.97871	0.666943
3.44262e-09	2.7929	0.690307
3.60656e-09	2.7547	0.968696
3.77049e-09	2.93645	0.915099
3.93443e-09	2.91286	0.588761
4.09836e-09	2.67088	0.876642
4.2623e-09	2.86854	1.03677
4.42623e-09	3.00042	0.55614
4.59016e-09	2.69533	0.737768
4.7541e-09	2.78871	1.0038
4.91803e-09	2.93081	0.75282
5.08197e-09	2.84984	0.650627
5.2459e-09	2.71348	0.935207
5.40984e-09	2.87732	1.02447
5.57377e-09	2.99354	0.545268
5.7377e-09	2.68311	0.814259
5.90164e-09	2.84979	1.02909
6.06557e-09	2.94922	0.62787
6.22951e-09	2.78969	0.700385
6.39344e-09	2.78886	0.979493
6.55738e-09	2.9239	0.874806
6.72131e-09	2.92557	0.599666
6.88525e-09	2.71153	0.888013
7.04918e-09	2.89256	1.0295
7.21311e-09	2.9979	0.537213
7.37705e-09	2.70146	0.763249
7.54098e-09	2.82736	1.02923
7.70492e-09	2.95295	0.74126
7.86885e-09	2.83771	0.665709
8.03279e-09	2.73635	0.938436
8.19672e-09	2.9019	0.947631
8.36066e-09	2.97918	0.51838
8.52459e-09	2.68976	0.829442
8.68852e-09	2.86402	1.04112
8.85246e-09	2.96204	0.642789
9.01639e-09	2.77341	0.738235
9.18033e-09	2.80819	1.0037
9.34426e-09	2.93506	0.836794
9.5082e-09	2.9123	0.595624
9.67213e-09	2.73143	0.884884
9.83607e-09	2.91252	0.990155
