Time(s)	I(VDD)	V(107)
0	-2.10473e-05	2.7356
1e-10	-2.14807e-05	2.72061
2e-10	-2.19691e-05	2.70467
3e-10	-2.23461e-05	2.68771
4e-10	-2.27625e-05	2.66967
5e-10	-2.30501e-05	2.65048
6e-10	-2.33572e-05	2.63003
7e-10	-2.35128e-05	2.60823
8e-10	-2.36614e-05	2.58496
9e-10	-2.36276e-05	2.56008
1e-09	-2.35502e-05	2.53343
1.1e-09	-2.32467e-05	2.50482
1.2e-09	-2.2847e-05	2.47404
1.3e-09	-2.21573e-05	2.44083
1.4e-09	-2.19485e-05	2.40529
1.5e-09	-2.10154e-05	2.36726
1.6e-09	-2.01822e-05	2.32634
1.7e-09	-1.92902e-05	2.28255
1.8e-09	-1.85269e-05	2.23589
1.9e-09	-1.82436e-05	2.18639
2e-09	-1.88795e-05	2.13406
2.1e-09	-2.04063e-05	2.07893
2.2e-09	-2.31184e-05	2.02099
2.3e-09	-2.6999e-05	1.96029
2.4e-09	-3.2353e-05	1.89683
2.5e-09	-3.91739e-05	1.83064
2.6e-09	-4.77762e-05	1.76174
2.7e-09	-5.8162e-05	1.69015
2.8e-09	-7.06537e-05	1.6159
2.9e-09	-8.52606e-05	1.53901
3e-09	-0.000102311	1.4595
3.1e-09	-0.000121818	1.37742
3.2e-09	-0.000144115	1.29277
3.3e-09	-0.000169218	1.2056
3.4e-09	-0.000197458	1.11593
3.5e-09	-0.000227846	1.02653
3.6e-09	-0.000260191	0.93829
3.7e-09	-0.000294652	0.850146
3.8e-09	-0.000330688	0.763646
3.9e-09	-0.00036735	0.680197
4e-09	-0.000403984	0.600992
4.1e-09	-0.000439657	0.526959
4.2e-09	-0.00047385	0.45874
4.3e-09	-0.000505859	0.396701
4.4e-09	-0.000535446	0.340956
4.5e-09	-0.00056221	0.291405
4.6e-09	-0.000586206	0.247787
4.7e-09	-0.000607287	0.209722
4.8e-09	-0.000625716	0.176754
4.9e-09	-0.000641503	0.148393
5e-09	-0.000655015	0.124137
5.1e-09	-0.000666324	0.1035
5.2e-09	-0.000675824	0.08602
5.3e-09	-0.000683586	0.0712742
5.4e-09	-0.000689986	0.0588802
5.5e-09	-0.000695065	0.0484981
5.6e-09	-0.000699158	0.0398301
5.7e-09	-0.000632328	0.0325994
5.8e-09	-0.000635469	0.026602
5.9e-09	-0.000637477	0.0216568
6e-09	-0.00063865	0.0175941
6.1e-09	-0.000638903	0.0142826
6.2e-09	-0.000638495	0.0116011
6.3e-09	-0.000637314	0.00944221
6.4e-09	-0.000635603	0.00770651
6.5e-09	-0.000633248	0.00631449
6.6e-09	-0.000630468	0.00519922
6.7e-09	-0.000627136	0.00430756
6.8e-09	-0.000623455	0.00359506
6.9e-09	-0.000619288	0.00302668
7e-09	-0.000614829	0.00257317
7.1e-09	-0.000609936	0.00221173
7.2e-09	-0.000604797	0.00192328
7.3e-09	-0.000599265	0.00169313
7.4e-09	-0.000593525	0.00150897
7.5e-09	-0.000587429	0.00136142
7.6e-09	-0.000581158	0.00124259
7.7e-09	-0.000574565	0.00114657
7.8e-09	-0.000567827	0.00106835
7.9e-09	-0.000560798	0.00100423
8e-09	-0.000553654	0.000951047
8.1e-09	-0.000546248	0.000906526
8.2e-09	-0.000538756	0.00086869
8.3e-09	-0.00053103	0.000836144
8.4e-09	-0.000523246	0.000807661
8.5e-09	-0.000515256	0.000782402
8.6e-09	-0.000507233	0.000759613
8.7e-09	-0.000499032	0.000738793
8.8e-09	-0.000490823	0.000719485
8.9e-09	-0.000482461	0.000701395
9e-09	-0.000474117	0.000684248
9.1e-09	-0.000465643	0.000667877
9.2e-09	-0.00045721	0.000652116
9.3e-09	-0.000448671	0.000636873
9.4e-09	-0.000440194	0.000622052
9.5e-09	-0.000431632	0.000607603
9.6e-09	-0.000423152	0.000593472
9.7e-09	-0.000414607	0.000579631
9.8e-09	-0.000406163	0.000566055
9.9e-09	-0.000397672	0.000552726
1e-08	-0.000389299	0.000539634
1.01e-08	-0.000380894	0.00052677
1.02e-08	-0.000372623	0.000514131
1.03e-08	-0.000364336	0.00050171
1.04e-08	-0.000356195	0.000489511
1.05e-08	-0.000348051	0.000477528
1.06e-08	-0.000340066	0.000465766
