Time(s)	V(102)	I(VDD)
0	0.0248756	-0.0497512
0.01	0.0743793	-0.0492562
0.02	0.12339	-0.0487661
0.03	0.171914	-0.0482809
0.04	0.219955	-0.0478005
0.05	0.267517	-0.0473248
0.06	0.314607	-0.0468539
0.07	0.361227	-0.0463877
0.08	0.407384	-0.0459262
0.09	0.453082	-0.0454692
0.1	0.498325	-0.0450167
0.11	0.543118	-0.0445688
0.12	0.587465	-0.0441254
0.13	0.631371	-0.0436863
0.14	0.67484	-0.0432516
0.15	0.717876	-0.0428212
0.16	0.760484	-0.0423952
0.17	0.802669	-0.0419733
0.18	0.844433	-0.0415557
0.19	0.885782	-0.0411422
0.2	0.926719	-0.0407328
0.21	0.96725	-0.0403275
0.22	1.00738	-0.0399262
0.23	1.0471	-0.039529
0.24	1.08644	-0.0391356
0.25	1.12538	-0.0387462
0.26	1.16393	-0.0383607
0.27	1.2021	-0.037979
0.28	1.23989	-0.0376011
0.29	1.2773	-0.037227
0.3	1.31435	-0.0368565
0.31	1.35102	-0.0364898
0.32	1.38733	-0.0361267
0.33	1.42327	-0.0357673
0.34	1.45886	-0.0354114
0.35	1.4941	-0.035059
0.36	1.52898	-0.0347102
0.37	1.56352	-0.0343648
0.38	1.59772	-0.0340228
0.39	1.63157	-0.0336843
0.4	1.66509	-0.0333491
0.41	1.69827	-0.0330173
0.42	1.73112	-0.0326888
0.43	1.76365	-0.0323635
0.44	1.79585	-0.0320415
0.45	1.82773	-0.0317227
0.46	1.8593	-0.031407
0.47	1.89055	-0.0310945
0.48	1.92149	-0.0307851
0.49	1.95212	-0.0304788
0.5	1.98245	-0.0301755
0.51	2.01247	-0.0298753
0.52	2.0422	-0.029578
0.53	2.07163	-0.0292837
0.54	2.10077	-0.0289923
0.55	2.12962	-0.0287038
0.56	2.15818	-0.0284182
0.57	2.18645	-0.0281355
0.58	2.21445	-0.0278555
0.59	2.24217	-0.0275783
0.6	2.26961	-0.0273039
0.61	2.29678	-0.0270322
0.62	2.32367	-0.0267633
0.63	2.3503	-0.026497
0.64	2.37667	-0.0262333
0.65	2.40277	-0.0259723
0.66	2.42861	-0.0257139
0.67	2.4542	-0.025458
0.68	2.47953	-0.0252047
0.69	2.50461	-0.0249539
0.7	2.52944	-0.0247056
0.71	2.55402	-0.0244598
0.72	2.57836	-0.0242164
0.73	2.60246	-0.0239754
0.74	2.62631	-0.0237369
0.75	2.64993	-0.0235007
0.76	2.67332	-0.0232668
0.77	2.69647	-0.0230353
0.78	2.71939	-0.0228061
0.79	2.74208	-0.0225792
0.8	2.76455	-0.0223545
0.81	2.78679	-0.0221321
0.82	2.80881	-0.0219119
0.83	2.83062	-0.0216938
0.84	2.8522	-0.021478
0.85	2.87357	-0.0212643
0.86	2.89473	-0.0210527
0.87	2.91568	-0.0208432
0.88	2.93642	-0.0206358
0.89	2.95695	-0.0204305
0.9	2.97728	-0.0202272
0.91	2.99741	-0.0200259
0.92	3.01733	-0.0198267
0.93	3.03706	-0.0196294
0.94	3.05659	-0.0194341
0.95	3.07593	-0.0192407
0.96	3.09508	-0.0190492
0.97	3.11403	-0.0188597
0.98	3.1328	-0.018672
0.99	3.15137	-0.0184863
1	3.16977	-0.0183023
1.01	3.18798	-0.0181202
1.02	3.20601	-0.0179399
1.03	3.22386	-0.0177614
1.04	3.24153	-0.0175847
1.05	3.25903	-0.0174097
1.06	3.27635	-0.0172365
1.07	3.29351	-0.0170649
1.08	3.31049	-0.0168951
1.09	3.3273	-0.016727
1.1	3.34394	-0.0165606
1.11	3.36042	-0.0163958
1.12	3.37673	-0.0162327
1.13	3.39288	-0.0160712
1.14	3.40888	-0.0159112
1.15	3.42471	-0.0157529
1.16	3.44038	-0.0155962
1.17	3.4559	-0.015441
1.18	3.47127	-0.0152873
1.19	3.48648	-0.0151352
1.2	3.50154	-0.0149846
1.21	3.51645	-0.0148355
1.22	3.53121	-0.0146879
1.23	3.54582	-0.0145418
1.24	3.56029	-0.0143971
1.25	3.57462	-0.0142538
1.26	3.5888	-0.014112
1.27	3.60284	-0.0139716
1.28	3.61674	-0.0138326
1.29	3.63051	-0.0136949
1.3	3.64414	-0.0135586
1.31	3.65763	-0.0134237
1.32	3.67098	-0.0132902
1.33	3.68421	-0.0131579
1.34	3.6973	-0.013027
1.35	3.71026	-0.0128974
1.36	3.7231	-0.012769
1.37	3.7358	-0.012642
1.38	3.74838	-0.0125162
1.39	3.76083	-0.0123917
1.4	3.77316	-0.0122684
1.41	3.78537	-0.0121463
1.42	3.79746	-0.0120254
1.43	3.80942	-0.0119058
1.44	3.82127	-0.0117873
1.45	3.833	-0.01167
1.46	3.84461	-0.0115539
1.47	3.85611	-0.0114389
1.48	3.86749	-0.0113251
1.49	3.87876	-0.0112124
1.5	3.88991	-0.0111009
1.51	3.90096	-0.0109904
1.52	3.91189	-0.0108811
1.53	3.92272	-0.0107728
1.54	3.93344	-0.0106656
1.55	3.94405	-0.0105595
1.56	3.95456	-0.0104544
1.57	3.96496	-0.0103504
1.58	3.97526	-0.0102474
1.59	3.98546	-0.0101454
1.6	3.99555	-0.0100445
1.61	4.00555	-0.00994452
1.62	4.01544	-0.00984557
1.63	4.02524	-0.00974761
1.64	4.03494	-0.00965062
1.65	4.04454	-0.00955459
1.66	4.05405	-0.00945952
1.67	4.06346	-0.0093654
1.68	4.07278	-0.00927221
1.69	4.08201	-0.00917995
1.7	4.09114	-0.0090886
1.71	4.10018	-0.00899817
1.72	4.10914	-0.00890864
1.73	4.118	-0.00881999
1.74	4.12678	-0.00873223
1.75	4.13547	-0.00864534
1.76	4.14407	-0.00855932
1.77	4.15258	-0.00847415
1.78	4.16102	-0.00838983
1.79	4.16936	-0.00830635
1.8	4.17763	-0.0082237
1.81	4.18581	-0.00814187
1.82	4.19391	-0.00806086
1.83	4.20193	-0.00798065
1.84	4.20988	-0.00790124
1.85	4.21774	-0.00782262
1.86	4.22552	-0.00774479
1.87	4.23323	-0.00766772
1.88	4.24086	-0.00759143
1.89	4.24841	-0.00751589
1.9	4.25589	-0.00744111
1.91	4.26329	-0.00736707
1.92	4.27062	-0.00729376
1.93	4.27788	-0.00722119
1.94	4.28507	-0.00714933
1.95	4.29218	-0.0070782
1.96	4.29922	-0.00700777
1.97	4.3062	-0.00693804
1.98	4.3131	-0.006869
